,HIVincidence
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,16.7
1685,0.0
1686,0.0
1687,9.0
1688,0.0
1689,0.0
1690,9.5
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,47.3
1697,0.0
1698,30.0
1699,2.5
1700,12.3
1701,8.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,24.399999999999995
1707,0.0
1708,0.0
1709,0.0
1710,18.5
1711,4.2
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,11.1
1718,22.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,5.6
1724,0.0
1725,37.7
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,7.8
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,15.3
1742,0.0
1743,0.0
1744,0.0
1745,12.8
1746,21.4
1747,0.0
1748,0.0
1749,5.5
1750,17.7
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,13.1
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,6.3
1761,8.9
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,10.8
1770,5.599999999999999
1771,12.9
1772,6.1
1773,0.0
1774,6.9
1775,0.0
1776,14.5
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,7.9
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,23.5
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,12.3
1793,20.8
1794,0.0
1795,0.0
1796,3.5
1797,0.0
1798,0.0
1799,0.0
1800,13.5
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,23.4
1816,0.0
1817,4.5
1818,0.0
1819,0.0
1820,11.7
1821,0.0
1822,15.9
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,60.8
1831,21.2
1832,11.1
1833,0.0
1834,20.3
1835,0.0
1836,4.8
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,17.2
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,24.8
1850,5.5
1851,0.0
1852,11.3
1853,5.900000000000001
1854,10.2
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,31.2
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,6.8
1868,64.1
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,6.4
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,6.3
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,11.1
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,8.7
1895,0.0
1896,41.5
1897,0.0
1898,0.0
1899,21.8
1900,0.0
1901,8.6
1902,0.0
1903,57.5
1904,0.0
1905,0.0
1906,0.0
1907,13.4
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,11.7
1916,0.0
1917,5.8
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,3.3
1923,19.8
1924,0.0
1925,0.0
1926,18.0
1927,0.0
1928,0.0
1929,0.0
1930,4.9
1931,4.3
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,22.9
1939,0.0
1940,9.3
1941,0.0
1942,17.9
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,34.3
1948,0.0
1949,0.0
1950,0.0
1951,7.3
1952,0.0
1953,28.5
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,25.4
1967,0.0
